alternative 可供替代的
circumstance 环境
comments 评论
compensation 补偿
components 组成部分
consent 同意
considerable 大量的，应考虑的
constant 连续的，常数
constraints 限制
contribution 贡献
convention 准则，惯例
coordination 协调
core 核心的
corporate 公司的
corresponding 相应的
criteria 标准
deduction 推理，减去
demonstrate 证明
document 文件
dominant 首要的，支配的
emphasis 重要性
ensure 确保
excluded 排除
framework 框架
funds 资金
illustrated 给插图，说明
immigration 移民
implies 暗示
initial 初始的
instance 例子
interaction 相互作用
justification 证明正确
layer 层
link 连接
location 地点
maximum 最大
minorities 少数
negative 消极的
outcomes 结果
partnership 合作，伙伴
philosophy 哲学
physical 身体的
proportion 部分，比例
publish 出版，发表
reaction 反应
registered 登记，注册
reliance 依靠，依赖
removed 移开
scheme 计划，方案
sequence 顺序，序列
sex 性
shift 转换
specified 具体说明的
sufficient 足够的
task 任务
technical 技术的
techniques 技术
technology 技术
validity 合法性
volume 量，体积
