academic 学术的
adjustment 调整
alter 改变
amendment 修订
aware 注意到
capacity 能力，容量
challenge 挑战
clause 从句，字句
compounds 混合物
conflict 冲突，矛盾
consultation 咨询
contact 接触
decline 下降
discretion 谨慎
draft 草稿
enable 使…能
energy 能量
enforcement 强制执行
entities 实物
equivalent 相等的
evolution 进化
expansion 扩张
exposure 遭受，暴露
external 外部的
facilitate 促进
fundamental 根本的，基础的
generated 产生
generation 代
image 图像
liberal 开明的
licence 执照
logic 逻辑
marginal 边缘的，微小的
medical 医学的
mental 精神的
modified 修改
monitoring 监督，监视
network 网络
notion 概念
objective 客观的
orientation 目标，方向
perspective 角度，观点
precise 精准的
prime 主要的
psychology 心理学
pursue 追逐，追求
ratio 比例
rejected 拒绝
revenue 税收
stability 稳定性
styles 风格
substitution 代替物
sustainable 可持续的
symbolic 象征的
target 目标
transition 过渡，转变
trend 潮流，趋势
version 版本
welfare 福祉
whereas 然而
