adaptation 适应
adults 成年人
advocate 支持
aid 帮助
channel 频道，途径
chemical 化学的
classical 经典的，古典的
comprehensive 全面的
comprise 由…组成
confirmed 确认，证实
contrary 相反的
converted 转换
couple 一对，夫妻
decade 十年
definite 明确的
deny 否认
differentiation 区别
disposal （事情的）去掉，清除
dynamic 动态的
eliminate 消除
empirical 经验主义的
equipment 设备
extract 提取
file 文件
finite 有限的
foundation 基础
global 全球的
grade 等级，成绩
guarantee 保证
hierarchical 分等级的
identical 相同的
ideology 意识形态
inferred 推断
innovation 创新
insert 插入
intervention 干预，干涉
isolate 隔离，孤立
media 媒体
mode 模式
paradigm 范例
phenomenon 现象
priority 优先的事
prohibited 禁止
publication 出版物
quotation 引用
release 释放
reverse 反转
simulation 模拟，模仿
solely 单独地，仅，只
somewhat 稍微，有点
submit 提交，服从
successive 连续的
survive 幸存
thesis 论文
topic 话题
transmission 传播，传送
ultimately 最终
unique 独特的
visible 可见的
voluntary 自愿的
