accommodation 住宿，住处
analogous 类似的
anticipated 预料
assurance 担保
attained 获得，达到
behalf 代表，利益
bulk 大批，大体积，变大
ceases 停止
coherence 连贯性，协调性
coincide 同时发生，相符
commenced 开始
incompatible 不兼容的
concurrent 同时发生的
confined 限制
controversy 争论
conversely 相反地
device 装置
devoted 奉献，投入（精力）
diminished 减少
distorted 扭曲
duration 期间
erosion 侵蚀
ethical 道德的
format 安排，格式
founded 建立
inherent 固有的，内在的
insights 洞察力
integral 完整的，不可缺的
intermediate 中间的
manual 手工的
mature 成熟的
mediation 调解
medium 中等的，媒介
military 军事的
minimal 最小的
mutual 相互的，双方的
norms 规范，惯例
overlap 重叠
passive 消极的，被动的
portion 部分
preliminary 初步的，预备性的
protocol 礼仪，协议
qualitative 质的，定性的
refine 提炼
relaxed 放松的
restraints 限制，约束
revolution 革命
rigid 死板的，固执的
route 路线
scenario 设想，梗概
sphere 球，领域
subordinate 从属的，下级的
supplementary 补充性的
suspended 暂停，挂起
team 团队
temporary 暂时的
trigger 诱发
unified 统一的
violation 违反
vision 视力，视野
