abandon 放弃
accompanied 陪伴
accumulation 积累
ambiguous 模糊的
appendix （文件）附录
appreciation 欣赏，感激
arbitrary 武断的，任意的
automatically 自动地
bias 偏见，偏向
chart 图表
clarity 清楚
conformity 遵守
commodity 商品
complement 补充
contemporary 同时代的，当代的
contradiction 矛盾，对立
crucial 关键的
currency 货币
denote 表示，意指
detected 发现，查明
deviation 偏离
displacement 替代
dramatic 戏剧性的
eventually 最终
exhibit 陈列，展示
exploitation 剥削，充分利用
fluctuations 波动
guidelines 指导，准则
highlighted 突出，强调
implicit 含蓄的
induced 诱使，引起
inevitably 不可避免地
infrastructure 基础设施
inspection 检查
intensity 强度
manipulation 操纵
minimised 最小化
nuclear 核
offset 抵消，补偿
paragraph 段落
plus 加
practitioners 从业者
predominantly 主要地
prospect 前景
radical 根本的，彻底的
random 随机的
reinforced 加强
restore 恢复
revision 修订
schedule 行程，计划
tension 紧张
termination 终止
theme 主题
thereby 因此
uniform 统一的，制服
vehicle 车辆
via 通过
virtually 几乎，实际上
widespread 广泛的，普遍的
visual 视觉的
